sequenceId,itemPosition,Open,High,Low,Close,OpenSign,HighSign,LowSign,CloseSign
0.0,1550,0.007722977133915343,0.00830999223998763,0.007126101787862105,0.010896993129886123,+,+,+,+
0.0,1551,0.011069925922009283,0.011816135555715812,0.010310290104113884,0.0038926039745961205,+,+,+,+
0.0,1552,-0.0003467574949058694,-0.000981344436087439,0.0003002101140632263,0.003579240334475431,-,-,+,+
0.0,1553,0.006194870466997626,0.005992151100427723,0.006401280063974335,0.00941150169582916,+,+,+,+
0.0,1554,-0.00039407967906934793,0.0004881847285154173,-0.0012920393174704614,-0.010108921485022404,-,+,-,-
0.0,1555,-0.013845760244086236,-0.015225424704522927,-0.012439048909126282,-0.010509597357628353,-,-,-,-
0.0,1556,0.002448271210153008,0.003468761080896776,0.0014107114351211703,0.01122239445223272,+,+,+,+
0.0,1557,0.008273957159058432,0.007506192592592553,0.009056168516487384,-0.0005945006063120539,+,+,+,-
0.0,1558,-0.005882618983228949,-0.006273884790238493,-0.005484603165981317,-0.004065080269035515,-,-,-,-
0.0,1559,-0.0008453803825346773,-0.0013810791738854133,-0.00030087234630882254,0.001294226021729017,-,-,-,+
0.0,1560,0.0036828646792415043,0.002963508753427657,0.00441325991213426,0.0012924736271133774,+,+,+,+
0.0,1561,0.005900743847877532,0.009947818476783388,0.001797493527037064,0.015192126056917221,+,+,+,+
0.0,1562,0.019915212363624146,0.01804172012832339,0.021830163476874054,0.011541471274285398,+,+,+,+
0.0,1563,-0.0034316046233369146,-0.0037359804936869523,-0.003121646607713413,-0.005511506585022419,-,-,-,-
0.0,1564,-0.0016489790809546268,-0.003365365384615404,9.780800278269552e-05,0.0,-,-,+,+
0.0,1565,-0.0024289531330043967,-0.0027978870661286015,-0.002054784796128639,-0.004278016612115021,-,-,-,-
0.0,1566,-0.003603593881682854,0.0,-0.007255593827935947,-0.003905887944306685,-,+,-,-
0.0,1567,0.0003421093771462935,-0.00270896862704173,0.003456770370370288,0.007450200814622221,+,-,+,+
0.0,1568,0.0002931307406683903,0.0015521536369391686,-0.000984232302839172,-0.005157137447420634,+,+,-,-
0.0,1569,-0.0036631484190989827,-0.0046493220582976,-0.0026600689655172927,9.782864041141259e-05,-,-,-,+
0.0,1570,0.012059375163993913,0.013331986895056769,0.010767529069420245,0.012322757946210183,+,+,+,+
0.0,1571,0.0053766045828520515,0.004801690333285924,0.005961688819390298,-0.0014491449821438795,+,+,+,-
0.0,1572,-0.008624017276315565,-0.007454831524080108,-0.009812513358593233,-0.011126180232912342,-,-,-,-
0.0,1573,-0.013899013731817234,-0.014155041197015716,-0.013638138022726398,-0.009098914089608723,-,-,-,-
0.0,1574,-0.006406756816455639,-0.006251211357234165,-0.006565164692780012,-0.009182474419258235,-,-,-,-
0.0,1575,-0.0036704429161726893,-0.0043247003012522045,-0.003003935025415072,-0.0014947783058252284,-,-,-,-
0.0,1576,0.0007965101688180987,0.0008884106350914855,0.0007030129557097364,0.008483094066360275,+,+,+,+
0.0,1577,0.003581564976188334,0.0037478844437113246,0.003412324401970368,-0.007323156635631323,+,+,+,-
0.0,1578,-0.0041635539033456626,-0.005797356955802968,-0.0025005000249900267,0.00358887456063961,-,-,-,+
0.0,1579,0.006171912704615146,0.006424214271595119,0.005915942868266022,0.007648793238279383,+,+,+,+
0.0,1580,0.012812248203688092,0.014632210259605039,0.010964892344497823,0.014097012734680225,+,+,+,+
0.0,1581,0.007765966667636626,0.0068718447541620264,0.008676839058900265,0.004374423902758107,+,+,+,+
0.0,1582,0.001114699742018166,9.614534361390703e-05,0.0021504789203183883,-0.003290718157181516,+,+,+,-
0.0,1583,-0.007988003563013324,-0.007977720030971636,-0.00799843956296653,-0.0067003493872493936,-,-,-,-
0.0,1584,-0.0036601045075417282,-0.003972444569057654,-0.003343126942275121,0.0013686479482974967,-,-,-,+
0.0,1585,0.002595993287695997,0.003696468763721761,0.0014798835686673506,-0.00556476618178281,+,+,+,-
0.0,1586,-0.006448771249706664,-0.006978106222136127,-0.0059107278906368466,0.002650657739537987,-,-,-,+
0.0,1587,0.005162978730939072,0.004977571783892021,0.005351233560549673,0.0,+,+,+,+
0.0,1588,-0.0029840133351336506,-0.003107691530468193,-0.0028584820953715395,-0.004797787274976595,-,-,-,-
0.0,1589,-0.009518688694803323,-0.008962483994885861,-0.01008308580138051,-0.00708383517398492,-,-,-,-
0.0,1590,0.0017337841013149724,0.001965958852866656,0.001497922922887085,0.005350782904296025,+,+,+,+
0.0,1591,0.0007417367187134705,-9.81261650152554e-05,0.0015953335168477079,-0.005716558305899344,+,-,+,-
0.0,1592,-0.0017789198443178833,-0.0021585655839594375,-0.0013937183094191452,0.002775644412439826,-,-,-,+
0.0,1593,0.005098752663203587,0.00560471992934275,0.004585774191721237,0.007117368243678701,+,+,+,+
0.0,1594,0.010983107101549594,0.012124817017448386,0.009824402396280574,0.011974882566986977,+,+,+,+
0.0,1595,0.005407477850490006,0.004637194384364829,0.0061910081330383004,-0.0014549078846732844,+,+,+,-
0.0,1596,-0.003343323045013946,-0.0042311280744519175,-0.0024416447157109555,-0.0017484216148154763,-,-,-,-
0.0,1597,-0.004521367061876003,-0.00502176711670399,-0.004014059173820916,-0.005935516374492078,-,-,-,-
0.0,1598,-0.008351235511318222,-0.007764689971510252,-0.008945276449072725,-0.008026702896370308,-,-,-,-
0.0,1599,-0.004580152604085397,-0.005086608478334864,-0.004066613767109595,-0.0024669430616516275,-,-,-,-
0.0,1600,0.0029685236052563457,0.0028512535920879323,0.003087311897726819,0.0016817292187845112,+,+,+,+
0.0,1601,-0.0007892462470933115,9.805882352931228e-05,-0.001687827624227256,-0.0007900651631430611,-,+,-,-
0.0,1602,0.0032582740111999353,0.005097509948093215,0.0013923321315068016,0.008104368452263255,+,+,+,+
0.0,1603,-0.0003444887297290311,-0.0018531454389266733,0.001191736990927783,-0.007254882352941139,-,-,+,-
0.0,1604,-0.014619705083525614,-0.012409576408425993,-0.016863376983699552,-0.017973533123177288,-,-,-,-
0.0,1605,-0.008392451751461416,-0.0103888691006232,-0.00635655326045248,0.0005027755329287675,-,-,-,+
0.0,1606,0.0014609622166248393,0.0011997800799774527,0.001726228623287085,-0.0015077093478280679,+,+,+,-
0.0,1607,-0.0038231399777497455,-0.003694847250797384,-0.00395337042162458,0.00040266762241469856,-,-,-,+
